! FRIB fast beam rates (v.3.00) : 2024 PAC3
! 2024 PAC3:  21 beams (16 beams @ 15 kW).  86-m flight is taken into accout
!  The rates are estimated based on the EPAX 3.01 parameterization for fragmentation and the LISE++ 3EER model for in-flight fission.
! Primary beam energies acording the FRIB Beam PAC3 list
! Neutrons (N)	Protons (Z)	Value  [pps]
148	94	207
147	94	1040
146	94	488
145	94	10000
144	94	10500
143	94	10700
142	94	10500
141	94	9980
140	94	9060
139	94	8010
138	94	6920
137	94	5830
136	94	4800
135	94	3840
134	94	2990
133	94	2250
132	94	1640
131	94	1160
130	94	739
129	94	462
127	94	96.3
126	94	101
125	94	52.5
124	94	25.3
123	94	11.3
122	94	4.54
121	94	1.72
120	94	0.55
119	94	0.111
118	94	0.0195
117	94	0.00301
116	94	0.00039
115	94	4.42e-05
114	94	4.01e-06
113	94	3.15e-07
112	94	2.05e-08
111	94	1.09e-09
148	93	1060
147	93	527000
146	93	244000
145	93	5010000
144	93	5300000
143	93	5400000
142	93	5320000
141	93	5060000
140	93	4610000
139	93	4080000
138	93	3530000
137	93	2990000
136	93	2460000
135	93	1980000
134	93	1540000
133	93	1170000
132	93	854000
131	93	602000
130	93	408000
128	93	1.21e-08
127	93	61600
126	93	53200
125	93	27600
124	93	13300
123	93	5950
122	93	2440
121	93	819
120	93	75.6
119	93	2.59e-07
148	92	9730
147	92	4820000
146	92	1.16e+12
145	92	4.8e+08
144	92	5.07e+08
143	92	5.17e+08
142	92	5.09e+08
141	92	4.85e+08
140	92	4.42e+08
139	92	3.92e+08
138	92	3.4e+08
137	92	2.88e+08
136	92	2.37e+08
135	92	1.91e+08
134	92	1.49e+08
133	92	1.13e+08
132	92	8.25e+07
131	92	5.72e+07
130	92	3.62e+07
129	92	1.34e+07
127	92	9320000
126	92	5200000
125	92	2700000
124	92	1310000
123	92	585000
122	92	240000
121	92	89800
120	92	30300
119	92	9120
118	92	2440
117	92	571
116	92	116
115	92	20.4
114	92	3.01
113	92	0.386
112	92	0.00472
111	92	0.00226
110	92	0.000256
109	92	1.55e-05
108	92	7.7e-07
107	92	3.1e-08
106	92	1e-09
148	91	447
147	91	216000
146	91	2.16e+07
145	91	3.78e+07
144	91	5.97e+07
143	91	8.63e+07
142	91	1.16e+08
141	91	1.47e+08
140	91	1.77e+08
139	91	2.04e+08
138	91	2.26e+08
137	91	2.41e+08
136	91	2.49e+08
135	91	2.47e+08
134	91	2.34e+08
133	91	2.13e+08
132	91	1.86e+08
131	91	1.57e+08
130	91	1.18e+08
129	91	5.68e+07
128	91	22100
127	91	5.06e+07
126	91	3.35e+07
125	91	2.08e+07
124	91	1.2e+07
123	91	6460000
122	91	3190000
121	91	1440000
120	91	591000
119	91	218000
118	91	71400
117	91	20700
116	91	5220
115	91	1140
114	91	215
113	91	34.4
112	91	4.48
111	91	0.234
110	91	3e-07
148	90	10
147	90	4890
146	90	479000
145	90	1350000
144	90	3190000
143	90	6570000
142	90	1.21e+07
141	90	2.01e+07
140	90	3.09e+07
139	90	4.43e+07
138	90	5.99e+07
137	90	7.71e+07
136	90	9.53e+07
135	90	1.13e+08
134	90	1.3e+08
133	90	1.43e+08
132	90	1.54e+08
131	90	1.6e+08
130	90	1.51e+08
129	90	9.69e+07
128	90	3370000
127	90	1.11e+08
126	90	8.91e+07
125	90	6.72e+07
124	90	4.74e+07
123	90	3.11e+07
122	90	1.88e+07
121	90	1.05e+07
120	90	5290000
119	90	2410000
118	90	984000
117	90	356000
116	90	113000
115	90	31400
114	90	7260
113	90	1530
112	90	221
111	90	36.3
110	90	4.35
109	90	0.489
108	90	0.0263
107	90	0.00269
106	90	0.000148
105	90	6.5e-06
104	90	2.27e-07
103	90	6.24e-09
148	89	0.155
147	89	79.2
146	89	8090
145	89	36300
144	89	145000
143	89	411000
142	89	1000000
141	89	2140000
140	89	4090000
139	89	7170000
138	89	1.16e+07
137	89	1.76e+07
136	89	2.53e+07
135	89	3.46e+07
134	89	4.55e+07
133	89	5.74e+07
132	89	7.01e+07
131	89	8.3e+07
130	89	9.16e+07
129	89	6.89e+07
128	89	230000
127	89	1.16e+08
126	89	1.13e+08
125	89	1.02e+08
124	89	8.82e+07
123	89	7.11e+07
122	89	5.32e+07
121	89	3.66e+07
120	89	2.31e+07
119	89	1.32e+07
118	89	6740000
117	89	3080000
116	89	1240000
115	89	439000
114	89	134000
113	89	35400
112	89	7930
111	89	1520
110	89	238
109	89	32.4
108	89	3.47
107	89	0.307
106	89	0.00886
148	88	0.00315
147	88	1.59
146	88	161
145	88	1070
144	88	5330
143	88	21100
142	88	77200
141	88	208000
140	88	489000
139	88	1030000
138	88	1990000
137	88	3540000
136	88	5890000
135	88	9240000
134	88	1.38e+07
133	88	1.97e+07
132	88	2.72e+07
131	88	3.61e+07
130	88	4.57e+07
129	88	4.47e+07
128	88	6740000
127	88	8.29e+07
126	88	9.44e+07
125	88	1.04e+08
124	88	1.09e+08
123	88	1.07e+08
122	88	9.73e+07
121	88	8.22e+07
120	88	6.4e+07
119	88	4.53e+07
118	88	2.91e+07
117	88	1.67e+07
116	88	8490000
115	88	3800000
114	88	1490000
113	88	502000
112	88	144000
111	88	35700
110	88	7250
109	88	1280
108	88	179
107	88	21.3
106	88	1.73
105	88	0.152
104	88	0.00838
103	88	0.000431
102	88	1.61e-05
101	88	4.81e-07
148	87	6.85e-05
147	87	0.0344
146	87	3.47
145	87	31.8
144	87	212
143	87	1090
142	87	4490
141	87	15400
140	87	50600
139	87	126000
138	87	284000
137	87	583000
136	87	1100000
135	87	1960000
134	87	3300000
133	87	5270000
132	87	8090000
131	87	1.19e+07
130	87	1.66e+07
129	87	1.28e+07
128	87	223000
127	87	4.13e+07
126	87	5.26e+07
125	87	6.49e+07
124	87	7.77e+07
123	87	8.97e+07
122	87	9.96e+07
121	87	1.04e+08
120	87	1e+08
119	87	8.84e+07
118	87	7.11e+07
117	87	5.17e+07
116	87	3.36e+07
115	87	1.93e+07
114	87	9730000
113	87	4260000
112	87	1610000
111	87	516000
110	87	140000
109	87	31900
108	87	6020
107	87	932
106	87	118
105	87	12
104	87	0.959
103	87	0.0408
102	87	1.02e-06
148	86	1.67e-06
147	86	0.000836
146	86	0.084
145	86	1.01
144	86	8.56
143	86	54.8
142	86	276
141	86	1140
140	86	3940
139	86	11800
138	86	35400
137	86	82200
136	86	176000
135	86	349000
134	86	652000
133	86	1150000
132	86	1950000
131	86	3160000
130	86	4910000
129	86	6240000
128	86	2290000
127	86	1.58e+07
126	86	2.21e+07
125	86	3.01e+07
124	86	3.99e+07
123	86	5.14e+07
122	86	6.42e+07
121	86	7.74e+07
120	86	8.95e+07
119	86	9.8e+07
118	86	9.85e+07
117	86	8.96e+07
116	86	7.37e+07
115	86	5.41e+07
114	86	3.51e+07
113	86	1.99e+07
112	86	9760000
111	86	4100000
110	86	1460000
109	86	439000
108	86	110000
107	86	22500
106	86	3780
105	86	514
104	86	55.9
103	86	4.94
102	86	0.353
101	86	0.0203
100	86	0.00094
99	86	3.34e-05
98	86	9.87e-07
148	85	4.63e-08
147	85	2.31e-05
146	85	0.00231
145	85	0.0342
144	85	0.354
143	85	2.72
142	85	16.2
141	85	78.3
140	85	315
139	85	1080
138	85	3280
137	85	8850
136	85	24400
135	85	53500
134	85	110000
133	85	213000
132	85	393000
131	85	694000
130	85	1180000
129	85	913000
128	85	105000
127	85	4880000
126	85	7410000
125	85	1.1e+07
124	85	1.6e+07
123	85	2.26e+07
122	85	3.11e+07
121	85	4.16e+07
120	85	5.4e+07
119	85	6.75e+07
118	85	8.06e+07
117	85	9.11e+07
116	85	9.44e+07
115	85	8.72e+07
114	85	7.21e+07
113	85	5.27e+07
112	85	3.36e+07
111	85	1.84e+07
110	85	8650000
109	85	3420000
108	85	1130000
107	85	309000
106	85	69400
105	85	12600
104	85	1880
103	85	228
102	85	3.54
148	84	1.43e-09
147	84	7.12e-07
146	84	7.09e-05
145	84	0.00124
144	84	0.015
143	84	0.134
142	84	0.922
141	84	5.08
140	84	23.2
139	84	90
138	84	305
137	84	916
136	84	2490
135	84	6190
134	84	16100
133	84	33800
132	84	67600
131	84	129000
130	84	237000
129	84	378000
128	84	174000
127	84	1240000
126	84	2030000
125	84	8420000
124	84	8870000
123	84	8730000
122	84	1.19e+07
121	84	1.75e+07
120	84	2.5e+07
119	84	3.47e+07
118	84	4.65e+07
117	84	5.99e+07
116	84	7.34e+07
115	84	8.46e+07
114	84	8.89e+07
113	84	8.22e+07
112	84	6.73e+07
111	84	4.8e+07
110	84	2.95e+07
109	84	1.54e+07
108	84	6750000
107	84	2460000
106	84	737000
105	84	182000
104	84	36900
103	84	6160
102	84	826
101	84	91.9
100	84	1.86
99	84	0.277
96	84	5.5e-05
95	84	1.59e-06
147	83	2.4e-08
146	83	2.38e-06
145	83	4.73e-05
144	83	0.000649
143	83	0.00653
142	83	0.0504
141	83	0.31
140	83	1.58
139	83	6.79
138	83	25.4
137	83	83.9
136	83	250
135	83	680
134	83	1710
133	83	4030
132	83	10100
131	83	20700
130	83	40800
129	83	78000
128	83	145000
127	83	8020000
126	83	1.2e+12
125	83	7.97e+08
124	83	8.33e+08
123	83	8.2e+08
122	83	7.48e+08
121	83	6.52e+08
120	83	5.47e+08
119	83	4.43e+08
118	83	3.45e+08
117	83	2.59e+08
116	83	1.87e+08
115	83	1.3e+08
114	83	8.57e+07
113	83	7.89e+07
112	83	8.26e+07
111	83	7.52e+07
110	83	5.98e+07
109	83	4.09e+07
108	83	2.37e+07
107	83	1.15e+07
106	83	4650000
105	83	1560000
104	83	433000
103	83	98400
102	83	17900
101	83	2790
100	83	174
99	83	19.5
98	83	9.7e-08
97	83	2.4e-05
146	82	8.51e-08
145	82	1.85e-06
144	82	2.79e-05
143	82	0.000309
142	82	0.00262
141	82	0.0177
140	82	0.0987
139	82	0.465
138	82	1.89
137	82	6.81
136	82	22
135	82	65
134	82	177
133	82	451
132	82	1080
131	82	2460
130	82	6030
129	82	12300
128	82	24400
127	82	7460000
126	82	1.12e+12
125	82	7.39e+08
124	82	7.59e+08
123	82	7.49e+08
122	82	7.02e+08
121	82	6.27e+08
120	82	5.45e+08
119	82	4.6e+08
118	82	4.19e+08
117	82	4.05e+08
116	82	3.65e+08
115	82	3.15e+08
114	82	2.57e+08
113	82	1.99e+08
112	82	1.45e+08
111	82	9.94e+07
110	82	7.55e+07
109	82	6.65e+07
108	82	5.04e+07
107	82	3.24e+07
106	82	1.76e+07
105	82	7990000
104	82	3010000
103	82	936000
102	82	239000
101	82	49700
100	82	8450
99	82	1170
98	82	130
97	82	11.7
96	82	0.835
95	82	0.0475
94	82	0.00165
93	82	6.92e-05
92	82	2.31e-06
91	82	5.7e-08
90	82	1.21e-09
146	81	3.13e-09
145	81	7.26e-08
144	81	1.18e-06
143	81	1.4e-05
142	81	0.000128
141	81	0.000938
140	81	0.00564
139	81	0.0286
138	81	0.126
137	81	0.489
136	81	1.71
135	81	5.42
134	81	15.9
133	81	43.4
132	81	112
131	81	274
130	81	642
129	81	1450
128	81	3540
127	81	497000
126	81	4.98e+07
125	81	8.4e+07
124	81	1.27e+08
123	81	1.76e+08
122	81	2.26e+08
121	81	2.73e+08
120	81	3.14e+08
119	81	3.44e+08
118	81	3.61e+08
117	81	3.64e+08
116	81	3.47e+08
115	81	3.14e+08
114	81	2.72e+08
113	81	2.65e+08
112	81	2.41e+08
111	81	2.07e+08
110	81	1.66e+08
109	81	1.23e+08
108	81	8.46e+07
107	81	5.66e+07
106	81	4.06e+07
105	81	2.46e+07
104	81	1.25e+07
103	81	5300000
102	81	1850000
101	81	529000
100	81	123000
99	81	23400
98	81	3620
97	81	450
96	81	45.1
95	81	4
94	81	0.286
93	81	0.0154
92	81	3.43e-08
91	81	2.22e-05
145	80	2.79e-09
144	80	4.76e-08
143	80	5.99e-07
142	80	5.82e-06
141	80	4.53e-05
140	80	0.000291
139	80	0.00158
138	80	0.00744
137	80	0.0308
136	80	0.115
135	80	0.39
134	80	1.22
133	80	3.58
132	80	9.89
131	80	25.9
130	80	65.2
129	80	158
128	80	369
127	80	20000
126	80	2040000
125	80	5320000
124	80	1.17e+07
123	80	2.22e+07
122	80	3.78e+07
121	80	5.85e+07
120	80	8.37e+07
119	80	1.12e+08
118	80	1.43e+08
117	80	1.73e+08
116	80	2.01e+08
115	80	2.25e+08
114	80	2.41e+08
113	80	2.48e+08
112	80	2.41e+08
111	80	2.19e+08
110	80	2.04e+08
109	80	1.89e+08
108	80	1.62e+08
107	80	1.28e+08
106	80	9.25e+07
105	80	6.01e+07
104	80	3.49e+07
103	80	1.8e+07
102	80	8540000
101	80	3340000
100	80	1070000
99	80	291000
98	80	67400
97	80	12900
96	80	2000
95	80	250
94	80	24.7
93	80	1.92
92	80	0.115
91	80	0.00529
90	80	0.000183
144	79	2.01e-09
143	79	2.63e-08
142	79	2.67e-07
141	79	2.17e-06
140	79	1.47e-05
139	79	8.4e-05
138	79	0.000416
137	79	0.00183
136	79	0.0072
135	79	0.0259
134	79	0.0865
133	79	0.269
132	79	0.787
131	79	2.19
130	79	5.85
129	79	15.2
128	79	38
127	79	589
126	79	59800
125	79	240000
124	79	853000
123	79	2190000
122	79	4830000
121	79	9420000
120	79	1.66e+07
119	79	2.7e+07
118	79	4.08e+07
117	79	5.83e+07
116	79	7.89e+07
115	79	1.02e+08
114	79	1.27e+08
113	79	1.53e+08
112	79	1.77e+08
111	79	1.97e+08
110	79	2.11e+08
109	79	2.13e+08
108	79	1.97e+08
107	79	1.86e+08
106	79	1.7e+08
105	79	1.41e+08
104	79	1.06e+08
103	79	7.03e+07
102	79	4.12e+07
101	79	2.09e+07
100	79	9130000
99	79	3370000
98	79	1040000
97	79	266000
96	79	55500
95	79	9370
94	79	1260
93	79	133
92	79	10.8
91	79	0.691
90	79	0.0273
89	79	0.00118
88	79	2.67e-05
87	79	5.9e-07
86	79	1.69e-09
143	78	1.14e-09
142	78	1.21e-08
141	78	1.02e-07
140	78	7.23e-07
139	78	4.34e-06
138	78	2.27e-05
137	78	0.000105
136	78	0.00044
135	78	0.00168
134	78	0.00592
133	78	0.0196
132	78	0.0612
131	78	0.182
130	78	0.522
129	78	1.45
128	78	3.9
127	78	19
126	78	1920
125	78	10900
124	78	46800
123	78	161000
122	78	513000
121	78	1670000
120	78	2.28e+11
119	78	1.68e+08
118	78	1.69e+08
117	78	1.64e+08
116	78	1.52e+08
115	78	1.34e+08
114	78	1.16e+08
113	78	9.75e+07
112	78	8.51e+07
111	78	1.08e+08
110	78	1.32e+08
109	78	1.56e+08
108	78	1.77e+08
107	78	1.91e+08
106	78	1.92e+08
105	78	1.77e+08
104	78	1.69e+08
103	78	1.45e+08
102	78	1.11e+08
101	78	7.42e+07
100	78	4.29e+07
99	78	2.12e+07
98	78	8790000
97	78	3040000
96	78	864000
95	78	199000
94	78	36700
93	78	5360
92	78	610
91	78	53.5
90	78	3.56
89	78	0.177
88	78	0.00671
87	78	0.000192
141	77	4.18e-09
140	77	3.07e-08
139	77	1.92e-07
138	77	1.05e-06
137	77	5.13e-06
136	77	2.26e-05
135	77	9.13e-05
134	77	0.000342
133	77	0.0012
132	77	0.004
131	77	0.0127
130	77	0.039
129	77	0.116
128	77	0.337
127	77	0.96
126	77	65.9
125	77	495
124	77	2740
123	77	11800
122	77	41700
121	77	142000
120	77	1.29e+07
119	77	2.42e+07
118	77	3.52e+07
117	77	4.71e+07
116	77	5.89e+07
115	77	6.96e+07
114	77	7.85e+07
113	77	8.48e+07
112	77	8.8e+07
111	77	8.77e+07
110	77	8.28e+07
109	77	7.91e+07
108	77	1.02e+08
107	77	1.26e+08
106	77	1.5e+08
105	77	1.7e+08
104	77	1.81e+08
103	77	1.73e+08
102	77	1.65e+08
101	77	1.43e+08
100	77	1.09e+08
99	77	7.18e+07
98	77	4.01e+07
